순번,회사명,생산품,업종명,대표주소,전화번호,팩스번호,데이터기준일자,실측점검,품질점검
1,(사)한국근로장애인진흥회,"복사용지, 화장지, 수처리제",문구용 종이제품 제조업 외 6 종,인천광역시 서구 원당대로608번안길 9-18 (당하동),032-435-8857,032-435-8859,2021-06-30,,b2:b3 중복
2,(사)한국근로장애인진흥회,"복사용지, 화장지, 수처리제, 마스크",문구용 종이제품 제조업 외 6 종,인천광역시 서구 원당대로608번안길 15 (당하동) 1동 외 7필지,032-435-8857,032-435-8859,2021-06-30,,b2:b3 중복
3,(사)한국장애인기업협회 가구사업소,사무용가구,기타 목재가구 제조업 외 1 종,인천광역시 서구 가현산로23번길 36 (마전동),032-569-3917,032-232-1739,2021-06-30,,
4,(유)다이아맥스코리아,석재가공용 다이아몬드 공구,비동력식 수공구 제조업,인천광역시 서구 염곡로15번길 22 (가좌동),032-765-6628,032-765-6629,2021-06-30,,
5,(유)와이즈에너지월드,태양광발전셋트,전동기 및 발전기 제조업,인천광역시 서구 원창로89번길 8 (원창동),032-425-0072,032-425-0073,2021-06-30,,
6,(유)유니굿라이프,마스크,기타 직물제품 제조업,인천광역시 서구 거북로 36 (석남동) 나동 1층 103호,02-2272-9999,032-582-9990,2021-06-30,,
7,(유)프리티스킨인터내셔널,화장품(마스크팩),화장품 제조업,"인천광역시 서구 가정로38번길 18, 1동 2층 20호 (가좌동, 영창테크노타운)",02-757-7022,02-754-8710,2021-06-30,?,
8,(재)한국화학융합시험연구원,시험검사 및 분석,"기타 기술 시험, 검사 및 분석업",인천광역시 서구 가재울로 68 (가좌동),02-2164-0091,02-507-8160,2021-06-30,,
9,(주)5·6,태고합판,기타 건축용 나무제품 제조업,"인천광역시 서구 길주로44번길 13, V동 (석남동)",032-575-5763,032-571-3106,2021-06-30,,
10,(주)TPC메카트로닉스,"에어실린더,솔레노이드밸브,FRL등",공기 조화장치 제조업,"인천광역시 서구 백범로603번길 24 (가좌동, A동)",032-573-5555,032-577-6894,2021-06-30,,b:10 ~12 회사명 중복
11,(주)TPC메카트로닉스,"직교로봇, 리니어로봇, 갠트리 스테이지",산업용 로봇 제조업,인천광역시 서구 갑문2로 39 (오류동),032-580-0206,,2021-06-30,,
12,(주)TPC메카트로닉스,3D 프린터(성형기),"고무, 화학섬유 및 플라스틱 성형기 제조업 외 1 종",인천광역시 서구 갑문2로 43 (오류동),032-580-0604,032-580-0693,2021-06-30,,
13,(주)가가 가좌동지점,부동산임대업,비주거용 건물 임대업,"인천광역시 서구 가좌로29번길 42 (가좌동, 가가(주))",031-683-7531,032-575-7534,2021-06-30,,
14,(주)가가전력,분전반,배전반 및 전기 자동제어반 제조업,"인천광역시 서구 봉수대로501번길 58-28, 2층 (원창동)",032-581-3914,032-581-3918,2021-06-30,,
15,(주)가공보드,보링목재,기타 목재가구 제조업,인천광역시 서구 북항로177번길 124 (원창동) B동,032-710-0858,032-724-0325,2021-06-30,,
16,(주)가람바스,금속위생용품,금속 위생용품 제조업,인천광역시 서구 봉수대로501번길 58-36 (원창동) 외 1필지,032-573-1580,032-572-1510,2021-06-30,,
17,(주)가람테크,화장품 용기 코팅,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",인천광역시 서구 백범로701번길 7 (가좌동),032-577-9208,032-577-9210,2021-06-30,,
18,(주)가림목재,소송각재,일반 제재업,인천광역시 서구 누리로 20(오류동),032-565-6222,032-565-6230,2021-06-30,m - 대표주소 변경,
